"";"cod_ibge_6";"obitos00a04";"obitos05a09";"obitos10a14";"obitos15a19";"obitos20a24";"obitos25a29";"obitos30a34";"obitos35a39";"obitos40a44";"obitos45a49";"obitos50a54";"obitos55a59";"obitos60a64";"obitos65a69";"obitos70a74";"obitos75a79";"obitos80m";"obitos_total"
"1";355030;9;8;10;27;59;125;294;439;641;873;1297;1820;2522;3061;3244;3030;6828;24287
"2";330455;21;8;10;27;72;135;219;364;561;749;1018;1532;2111;2693;2979;2670;6389;21558
"3";130260;23;11;9;24;45;75;153;261;424;525;602;850;1051;1184;1078;889;1504;8708
"4";230440;9;5;10;18;25;47;83;185;239;295;411;516;690;834;1009;913;2043;7332
"5";292740;7;3;3;7;20;25;53;100;154;187;241;368;474;612;571;578;1293;4696
"6";410690;2;2;2;4;14;23;35;79;123;186;255;368;480;577;585;574;1036;4345
"7";261160;15;5;3;4;15;21;41;65;95;132;227;296;415;493;523;467;1138;3955
"8";520870;4;0;3;6;18;26;48;84;124;165;219;335;452;483;534;508;934;3943
"9";150140;5;4;8;3;15;24;58;57;106;156;212;312;431;545;546;515;934;3931
"10";431490;1;0;1;7;3;18;23;47;66;108;154;244;385;498;546;603;1187;3891
"11";310620;2;0;1;1;4;13;26;34;61;92;141;234;314;444;513;465;1281;3626
"12";351880;5;3;1;4;11;25;32;78;120;158;184;270;348;439;382;310;610;2980
"13";350950;0;2;1;4;7;20;25;55;65;71;151;186;310;349;347;348;716;2657
"14";500270;2;0;0;1;7;8;24;31;60;95;124;171;239;290;335;231;501;2119
"15";250750;6;2;0;1;12;18;30;63;80;100;130;198;193;239;262;222;525;2081
"16";354870;1;1;2;0;4;17;26;32;52;79;113;156;236;278;253;271;472;1993
"17";110020;4;5;1;8;10;20;45;78;106;107;155;205;223;260;259;195;283;1964
"18";317020;0;0;1;1;3;11;21;50;72;88;115;179;212;260;264;223;452;1952
"19";240810;4;2;1;1;12;14;28;32;58;79;102;170;165;227;257;234;503;1889
"20";354780;1;0;1;3;5;13;13;43;60;55;89;137;191;221;194;237;506;1769
"21";330490;0;3;2;2;3;6;12;33;50;55;85;147;196;250;276;211;436;1767
"22";354980;0;2;0;2;2;4;19;47;51;77;126;137;182;226;208;222;391;1696
"23";354340;0;3;0;1;6;3;21;32;32;43;71;113;156;215;199;243;535;1673
"24";270430;5;3;3;4;11;12;24;37;61;98;93;123;200;202;212;200;347;1635
"25";221100;1;0;4;3;7;18;18;33;39;66;84;99;154;169;235;174;491;1595
"26";353440;0;1;2;1;6;10;24;33;51;71;91;134;180;201;217;181;319;1522
"27";280030;8;6;3;3;8;7;22;39;49;71;84;111;140;196;176;189;353;1465
"28";330330;2;2;0;1;3;5;5;17;14;29;50;85;120;151;198;190;502;1374
"29";211130;4;0;2;4;7;11;19;34;36;59;78;93;151;185;143;172;367;1365
"30";355220;1;0;0;2;7;12;24;37;56;61;96;127;160;197;139;152;256;1327
"31";354850;0;1;0;0;0;6;11;15;16;29;34;89;108;162;175;165;506;1317
"32";330350;4;2;1;1;1;14;20;32;43;64;85;110;115;165;152;149;234;1192
"33";330170;2;2;4;3;6;11;15;33;41;57;83;101;149;153;168;125;202;1155
"34";430460;3;0;0;1;5;5;19;25;37;57;66;83;145;158;162;127;238;1131
"35";530040;1;0;0;1;10;8;11;26;43;68;64;81;105;134;171;154;243;1120
"36";313670;4;1;0;0;1;5;7;19;31;35;41;77;103;136;181;150;321;1112
"37";420910;0;1;0;1;2;1;5;14;26;33;47;93;127;154;157;140;298;1099
"38";354990;2;0;0;0;6;3;9;23;28;52;54;83;115;167;146;122;249;1059
"39";311860;2;0;1;3;1;13;12;30;26;41;64;76;110;140;141;132;265;1057
"40";260790;2;1;0;3;1;7;13;23;25;39;53;104;110;136;126;142;270;1055
"41";411370;0;0;0;0;1;3;7;18;22;31;57;67;84;136;158;143;311;1038
"42";352940;0;0;0;1;3;7;13;27;33;53;65;101;135;144;164;110;181;1037
"43";520140;1;0;1;2;2;12;14;34;45;63;86;76;103;156;131;106;202;1034
"44";510340;1;0;0;4;3;5;17;22;41;41;70;97;121;136;142;111;200;1011
"45";353060;0;0;0;2;5;8;9;18;35;38;68;89;108;149;146;123;170;968
"46";140010;5;2;1;1;5;12;29;38;59;66;70;85;112;113;120;74;135;927
"47";352590;0;0;0;1;3;7;9;12;34;36;47;72;97;122;122;120;213;895
"48";330100;0;0;1;0;4;1;12;18;18;31;40;76;102;116;121;120;204;864
"49";150680;1;2;1;1;2;5;12;17;25;36;42;57;86;104;116;136;207;850
"50";320530;1;0;0;1;1;4;5;16;22;26;26;71;80;97;109;107;283;849
"51";420540;2;0;0;2;1;4;7;7;16;21;35;51;73;113;126;119;272;849
"52";411520;1;0;0;0;2;3;18;19;29;37;53;63;92;112;122;111;184;846
"53";320500;1;0;0;1;4;5;14;18;29;42;46;63;78;121;96;105;194;817
"54";120040;1;0;0;4;1;8;17;26;33;44;56;66;99;90;101;88;164;798
"55";430510;0;0;0;0;1;2;10;13;11;23;25;43;91;97;131;101;238;786
"56";312770;0;0;0;0;2;4;5;7;18;24;48;56;100;90;111;88;229;782
"57";330510;2;1;0;2;5;7;6;11;27;29;40;77;86;123;107;93;158;774
