distrito_datawrapper;distrito_tabnet;pop00a04;pop05a09;pop10a14;pop15a19;pop20a24;pop25a29;pop30a34;pop35a39;pop40a44;pop45a49;pop50a54;pop55a59;pop60a64;pop65a69;pop70a74;pop75m;pop_total
AGUA RASA;Água Rasa;4345;4772;3754;4017;4790;5225;6174;6605;6669;5833;5490;5832;5400;4420;3484;5754;82564
ALTO DE PINHEIROS;Alto de Pinheiros;1559;1719;1670;1739;2063;2407;2882;2994;3339;2876;2830;3220;2909;2648;2207;3900;40962
ANHANGUERA;Anhanguera;5992;5732;5538;6456;8316;7948;7617;6852;6441;6311;5836;4412;3099;2030;1132;1007;84719
ARICANDUVA;Aricanduva;4871;5150;4560;5126;6299;6074;6829;7084;6441;6010;5786;5295;4860;3896;3127;4460;85868
ARTUR ALVIM;Artur Alvim;5754;6098;5525;5930;7316;7213;8179;8828;8330;7233;6202;5937;5291;4542;3516;4568;100462
BARRA FUNDA;Barra Funda;948;1055;773;778;823;942;1317;1560;1491;1270;959;941;898;739;630;991;16115
BELA VISTA;Bela Vista;3907;4211;2740;2525;2854;3722;7067;9175;7647;5657;4789;4395;4093;3582;2794;4077;73235
BELEM;Belém;3723;4269;2577;2449;2722;2790;4017;4704;4190;3354;2831;2849;2469;2155;1514;2600;49213
BOM RETIRO;Bom Retiro;2779;3068;2205;2236;2536;2653;3617;3732;3364;2557;2292;2024;1746;1449;996;1623;38877
BRAS;Brás;2547;2941;1669;1779;2055;2241;3139;3273;2887;2376;1985;1714;1523;1126;793;997;33045
BRASILANDIA;Brasilândia;22878;23337;18211;21086;25520;23241;23651;23015;20576;18113;16723;13745;11284;8276;5884;6437;281977
BUTANTA;Butantã;2580;2817;2262;2328;2660;3127;4697;5525;4835;3887;3491;3453;3243;2918;2322;3691;53836
CACHOEIRINHA;Cachoeirinha;10788;11360;9187;10129;12025;11618;12246;12461;11300;9558;8823;7786;6763;4915;3452;3976;146387
CAMBUCI;Cambuci;2390;2624;2195;2183;2451;2472;3131;3620;3605;3170;2664;2447;2254;1827;1329;2305;40667
CAMPO BELO;Campo Belo;3131;3512;2989;2965;3185;3286;4500;5349;5503;4996;4324;4347;4066;3671;2913;5007;63744
CAMPO GRANDE;Campo Grande;5531;6102;5731;5932;6984;6907;7534;8659;9257;8371;8064;7481;6439;5041;3692;4997;106722
CAMPO LIMPO;Campo Limpo;15881;16456;14739;15681;19074;17635;19515;20356;19378;16688;14065;11509;9966;7452;5100;5398;228893
CANGAIBA;Cangaíba;9166;9627;7663;8591;10758;10520;11778;11585;10360;9407;8875;8288;7088;5445;3913;5043;138107
CAPAO REDONDO;Capão Redondo;21987;22527;19006;21305;25588;23964;25836;25985;23711;20420;17860;14401;12027;9288;6322;6151;296378
CARRAO;Carrão;4188;4531;4024;4481;5442;5600;6431;6842;6741;6172;5803;6014;5321;4380;3502;5453;84925
CASA VERDE;Casa Verde;5288;5699;4461;4801;5704;5728;7050;7430;6909;5795;5301;5309;4931;4018;3009;4571;86004
CIDADE ADEMAR;Cidade Ademar;20624;21447;17552;19080;22856;22362;24985;24814;23132;19803;17348;14438;12554;9710;6992;7980;285677
CIDADE DUTRA;Cidade Dutra;13580;14154;11910;13581;16527;15849;17168;17019;16019;14100;12977;11216;9860;7615;5620;5936;203131
CIDADE LIDER;Cidade Líder;8904;9193;8041;9068;10840;10815;11479;11711;10866;9526;8417;7413;6548;5113;3648;3665;135247
