"muni_id";"muni_id_6";"muni_nm";"uf_sigla";"obitos_total";"pop_total";"coef_total";"taxa_ajustada"
"1503754";150375;"Jacareacanga";"PA";43;7590;566,534914361001;1295,01137333951
"1304203";130420;"Tefé";"AM";213;59547;357,700639830722;695,088650727135
"1302108";130210;"Japurá";"AM";6;2251;266,548200799645;640,243335649394
"1302603";130260;"Manaus";"AM";8708;2219580;392,326476180178;634,121756435903
"1100205";110020;"Porto Velho";"RO";1964;539354;364,139322226219;619,578686993009
"1502152";150215;"Canaã dos Carajás";"PA";88;38103;230,952943337795;580,92151018121
"1503002";150300;"Faro";"PA";28;7070;396,039603960396;579,702810099941
"1302009";130200;"Itapiranga";"AM";34;9230;368,364030335861;567,710115651121
"1302504";130250;"Manacapuru";"AM";327;98502;331,972954863861;557,932026586181
"1301209";130120;"Coari";"AM";205;85910;238,621813525783;500,963665563727
"1301902";130190;"Itacoatiara";"AM";322;102701;313,53151381194;498,213357079561
"1303700";130370;"Santo Antônio do Içá";"AM";47;21243;221,249352727957;497,383930852165
"1301852";130185;"Iranduba";"AM";152;49011;310,134459611108;496,630059414166
"1303536";130353;"Presidente Figueiredo";"AM";94;37193;252,735729841637;491,6887534118
"1304005";130400;"Silves";"AM";28;9230;303,358613217768;487,848265223188
"1505536";150553;"Parauapebas";"PA";315;213576;147,488481851893;473,986991836843
"5201207";520120;"Anhanguera";"GO";6;1160;517,241379310345;471,329851537646
"1600501";160050;"Oiapoque";"AP";40;27906;143,338350175589;467,668521705968
"3536257";353625;"Parisi";"SP";14;2169;645,458736745044;463,81329185136
"1100106";110010;"Guajará-Mirim";"RO";152;46556;326,488529942435;458,174998946263
"1304302";130430;"Urucará";"AM";52;16130;322,38065716057;457,640787540981
"1507805";150780;"Senador José Porfírio";"PA";20;11480;174,216027874564;454,399364320364
"5107040";510704;"Primavera do Leste";"MT";205;62983;325,484654589334;446,218535966408
"1300409";130040;"Barcelos";"AM";56;27638;202,619581735292;444,398284286357
"1300029";130002;"Alvarães";"AM";28;16220;172,626387176326;439,575785941534
"1503903";150390;"Juruti";"PA";118;58960;200,135685210312;437,133158177177
"4210555";421055;"Marema";"SC";12;1750;685,714285714286;436,898275270162
"1303957";130395;"São Sebastião do Uatumã";"AM";22;14352;153,288740245262;434,838393889745
