"distrito_datawrapper";"distrito_tabnet";"obitos_total";"pop_total";"coef_total";"taxa_ajustada"
"SAO MIGUEL";"São Miguel";147;89173;164,848104246801;128,392139564413
"CIDADE TIRADENTES";"Cidade Tiradentes";252;235630;106,947332682596;125,460907176082
"PONTE RASA";"Ponte Rasa";167;89774;186,022679172143;125,345426061809
"IGUATEMI";"Iguatemi";171;149739;114,198705748002;125,161040792941
"ARICANDUVA";"Aricanduva";172;85868;200,307448642102;124,077741982181
"ITAQUERA";"Itaquera";304;211555;143,697856349413;121,622936610213
"CACHOEIRINHA";"Cachoeirinha";191;146387;130,476066863861;117,612881979402
"VILA JACUI";"Vila Jacuí";178;145836;122,054910995913;116,23301857425
"FREGUESIA DO O";"Freguesia do Ó";234;140083;167,043824018618;111,418820124566
"LIMAO";"Limão";124;79657;155,667424080746;109,683312879264
"JARDIM HELENA";"Jardim Helena";144;135605;106,19077467645;109,045735140769
"VILA FORMOSA";"Vila Formosa";181;94100;192,348565356004;108,712368829828
"CIDADE LIDER";"Cidade Líder";173;135247;127,914112697509;108,611323180575
"LAJEADO";"Lajeado";173;174539;99,1182486435696;107,041828470094
"SAPOPEMBA";"Sapopemba";371;289759;128,037438008828;106,35330624267
"ARTUR ALVIM";"Artur Alvim";163;100462;162,250403137505;105,215290097869
"CANGAIBA";"Cangaíba";189;138107;136,850413085506;102,643365721955
"BELEM";"Belém";72;49213;146,302806169102;101,844268437651
"PARQUE DO CARMO";"Parque do Carmo";81;71749;112,893559492118;101,441889154859
"BRASILANDIA";"Brasilândia";287;281977;101,781350961249;101,353601855917
"GUAIANASES";"Guaianases";111;109730;101,157386311856;100,745268549036
"PARELHEIROS";"Parelheiros";132;153598;85,9386189924348;100,173324075172
"SAO MATEUS";"São Mateus";193;155387;124,206014660171;99,0061258530496
"ITAIM PAULISTA";"Itaim Paulista";229;234912;97,4833129001498;98,5407496079018
"VILA MEDEIROS";"Vila Medeiros";183;123456;148,230948678072;98,4173379769213
"MOOCA";"Mooca";146;80330;181,75028009461;97,2357989967963
"GRAJAU";"Grajaú";314;390096;80,493006849596;95,8898648359402
"VILA CURUCA";"Vila Curuçá";159;153500;103,583061889251;95,1516792844421
"MANDAQUI";"Mandaqui";166;109228;151,975683890577;94,6387771345115
"TREMEMBE";"Tremembé";245;223553;109,593698138696;94,4058146200572
"AGUA RASA";"Água Rasa";141;82564;170,776609660385;92,0505724899553
"VILA GUILHERME";"Vila Guilherme";88;57079;154,172287531316;91,7801060614555
"CIDADE ADEMAR";"Cidade Ademar";293;285677;102,56338452168;91,4014334890316
"JARAGUA";"Jaraguá";188;212819;88,3379773422486;91,2233925675506
"JACANA";"Jaçanã";118;96054;122,847564911404;90,9431989468224
"VILA MARIA";"Vila Maria";135;114025;118,395088796317;88,7996846582844
"PENHA";"Penha";191;129100;147,947327652982;87,0160327347431
"SAO LUCAS";"São Lucas";200;142948;139,911016593447;86,4037358278845
"PIRITUBA";"Pirituba";209;171232;122,05662492992;86,1411240335315
"JOSE BONIFACIO";"José Bonifácio";140;136560;102,519039250146;85,6401201095798
"CASA VERDE";"Casa Verde";117;86004;136,04018417748;85,5298180340489
"VILA MATILDE";"Vila Matilde";149;105575;141,131896755861;85,0237790964747
"TUCURUVI";"Tucuruvi";155;96358;160,858465306461;84,6624197730469
"PERUS";"Perus";74;89310;82,8574627701265;82,9309419175777
"SOCORRO";"Socorro";55;36033;152,637859739683;81,0874765316434
"CARRAO";"Carrão";126;84925;148,366205475419;80,9649761095004
"CAPAO REDONDO";"Capão Redondo";233;296378;78,6158216871698;80,1083507549355
"RAPOSO TAVARES";"Raposo Tavares";95;107426;88,4329678103997;79,4124235781245
